"issn","journal_name","max_projaidate","max_apcdate","proj_ai","price","category"
"1217-8837","acta zoologica academiae scientiarum hungaricae",2015,2017-05-22,0.165,0,"blank"
"1220-1766","studies in informatics and control",2015,2012-01-01,0.182,0,"blank"
"1221-1451","romanian reports in physics",2015,2017-05-14,0.271,0,"blank"
"1221-146X","romanian journal of physics",2015,2013-01-01,0.179,0,"blank"
"1224-5984","romanian biotechnological letters",2015,2017-05-14,0.173,168,"blank"
"1225-6463","etri journal",2015,2013-01-01,0.328,0,"blank"
"1229-5949","bulletin of the korean chemical society",2015,2013-01-01,0.175,0,"blank"
"1229-845X","journal of veterinary science",2015,2017-06-03,0.312,900,"blank"
"1230-3666","fibres & textiles in eastern europe",2015,2017-05-26,0.177,1006.56,"blank"
"1239-9736","international journal of circumpolar health",2015,2017-05-14,0.317,678,"blank"
"1248-9204","hernia",2015,2016-08-11,0.494,3000,"blank"
"1279-8517","surgical and radiologic anatomy",2015,2017-05-22,0.34,3000,"blank"
"1280-8571","adansonia",2015,2017-05-16,0.14,0,"blank"
"1280-9551","zoosystema",2015,2017-05-22,0.146,0,"blank"
"1280-9659","geodiversitas",2015,2017-05-26,0.268,0,"blank"
"1286-0115","morphologie",2015,2016-08-11,0.1,3000,"blank"
"1297-966X","annals of forest science",2015,2016-08-11,0.507,3000,"blank"
"1297-9678","apidologie",2015,2016-08-11,0.67,3000,"blank"
"1297-9686","genetics selection evolution",2015,2016-08-11,1.014,1800,"blank"
"1297-9716","veterinary research",2015,2016-08-11,1.01,1800,"blank"
"1300-2163","turk psikiyatri dergisi",2015,2017-05-31,0.087,0,"blank"
"1301-1111","turkish journal of field crops",2015,2017-05-14,0.145,200,"blank"
"1303-2712","turkish journal of fisheries and aquatic sciences",2015,2017-05-14,0.23,0,"blank"
"1303-2968","journal of sports science and medicine",2015,2017-05-24,0.528,1600,"blank"
"1303-6092","turkish journal of biology",2015,2012-01-01,0.318,0,"blank"
"1303-6106","turkish journal of botany",2015,2012-01-01,0.241,0,"blank"
"1303-6114","turkish journal of zoology",2015,2012-01-01,0.169,0,"blank"
"1303-6130","turkish journal of chemistry",2015,2013-01-01,0.263,0,"blank"
"1303-6149","turkish journal of mathematics",2015,2012-01-01,0.142,0,"blank"
"1303-6165","turkish journal of medical sciences",2015,2013-01-01,0.118,0,"blank"
"1303-6173","turkish journal of agriculture and forestry",2015,2013-01-01,0.312,0,"blank"
"1303-6181","turkish journal of veterinary & animal sciences",2015,2013-01-01,0.124,0,"blank"
"1303-619X","turkish journal of earth sciences",2015,2013-01-01,0.399,0,"blank"
"1303-6203","turkish journal of electrical engineering and computer sciences",2015,2013-01-01,0.225,0,"blank"
"1305-3825","diagnostic and interventional radiology",2015,2013-01-01,0.433,0,"blank"
"1307-6167","records of natural products",2015,2017-05-14,0.382,450,"blank"
"1308-5263","turkish journal of hematology",2015,2012-01-01,0.126,0,"blank"
